COD_CLIENTE;CANAL_VENDA;COD_CUPOM;DATA_VENDA;IMPOSTO_VENDA;QUANTIDADE_VENDA;VALOR_VENDA;AVALIACAO_ATENDIMENTO;ANO_MES;NPS_TIPO
40558330;3000;04 01140003742111;06/03/2025;5,64;1;29,69;9;2025-03;Promotor
39409046;1000;04 0172000043123104;08/04/2025;16,44;1;59,99;8;2025-04;Neutro
39395806;1000;04 0273000028737101;10/02/2025;5,47;7;20,65;3;2025-02;Detrator
39149880;3000;04 02260000877911;04/04/2025;12,32;1;133,19;4;2025-04;Detrator
39425415;3000;04 02130001226551;16/04/2025;1,75;2;18,82;2;2025-04;Detrator
40304461;1000;04 0033000174399103;02/01/2025;4,51;1;16,99;10;2025-01;Promotor
39561960;1000;04 0272000026449102;29/04/2025;15,47;1;51,99;3;2025-04;Detrator
38946273;1000;04 0065000375293104;15/03/2025;8,95;1;34,99;8;2025-03;Neutro
39297491;3000;04 00520003188421;12/01/2025;19,77;1;109,86;10;2025-01;Promotor
39235384;4401;04 02290000907041;18/03/2025;9,53;1;50,3;8;2025-03;Neutro
39472640;3000;04 01140003664901;06/02/2025;12,11;1;63,74;8;2025-02;Neutro
39291003;1000;04 0171000030235102;04/01/2025;8,65;1;35,1;7;2025-01;Neutro
39443973;1000;04 0160000076125103;04/03/2025;5,53;1;21,6;1;2025-03;Detrator
37835260;4401;04 02040001520801;14/04/2025;2,11;4;11,12;4;2025-04;Detrator
40067633;1000;04 0062000154869101;25/02/2025;0,92;2;9,98;10;2025-02;Promotor
39754542;4100;04 01960001931901;28/01/2025;13,1;1;141,72;5;2025-01;Detrator
36183948;2000;04 00140062044851;05/04/2025;11,16;1;27,03;4;2025-04;Detrator
39643028;1000;04 0181000222657103;23/02/2025;7,02;1;38,99;5;2025-02;Detrator
39426184;1000;04 0180000019956103;17/03/2025;19,18;1;69,99;8;2025-03;Neutro
37701180;2000;04 00140062270231;14/04/2025;16,24;1;104,05;1;2025-04;Detrator
39561960;1000;04 0272000021317102;28/02/2025;5,36;1;17,99;5;2025-02;Detrator
36650361;3000;04 01290002657861;29/04/2025;1,48;5;15,95;9;2025-04;Promotor
39395806;1000;04 0273000005445102;13/04/2025;3,54;4;13,4;2;2025-04;Detrator
40115716;1000;04 0062000180414104;02/01/2025;54,28;1;219,99;6;2025-01;Detrator
40451491;3000;04 01080005871211;22/02/2025;9,57;1;37,39;8;2025-02;Neutro
39717809;1000;04 0147000024205105;13/02/2025;23,02;1;83,99;9;2025-02;Promotor
39692013;1000;04 0081000040472102;17/01/2025;2,35;4;9,56;2;2025-01;Detrator
39984766;1000;04 0211000025700101;27/02/2025;16,19;1;174,99;7;2025-02;Neutro
40238315;4600;04 00700000753541;18/03/2025;5,83;1;62,99;5;2025-03;Detrator
40450755;1000;04 0062000159193102;22/02/2025;9,59;1;34,99;1;2025-02;Detrator
40434230;4500;04 01770001679541;27/02/2025;4,61;1;17,99;8;2025-02;Neutro
60587701;3000;04 02260000872391;01/04/2025;10,4;4;30,63;2;2025-04;Detrator
40431569;1000;04 0237000051779101;23/03/2025;6,65;1;25,99;6;2025-03;Detrator
40320111;3000;04 01390001251411;01/04/2025;4,73;1;51,2;8;2025-04;Neutro
39121032;1000;04 0061000128355103;10/03/2025;15,1;1;58,99;1;2025-03;Detrator
39322190;3000;04 00910000425121;25/02/2025;4,98;1;53,78;8;2025-02;Neutro
38136219;1000;04 0011000188411106;25/04/2025;0;1;11,99;1;2025-04;Detrator
39124365;3000;04 00880003829021;02/01/2025;12,26;1;44,01;8;2025-01;Neutro
39962915;1000;04 0089000028169103;18/01/2025;4,85;1;19,69;6;2025-01;Detrator
39198138;4300;04 01540003646551;27/02/2025;29,68;1;254,69;5;2025-02;Detrator
39857371;1000;04 0280000022703103;09/04/2025;5,27;1;56,99;7;2025-04;Neutro
40406362;1000;04 0192000040323103;26/02/2025;13,33;1;53,99;1;2025-02;Detrator
40026338;1000;04 0099000006667102;24/03/2025;7,22;1;77,99;5;2025-03;Detrator
39688550;4300;04 01470000232531;14/02/2025;37,84;2;111,98;8;2025-02;Neutro
40417710;3000;04 02050001485861;10/02/2025;87,71;1;314,9;3;2025-02;Detrator
39292826;3000;04 02020000977651;24/04/2025;11,19;1;120,98;2;2025-04;Detrator
39923878;3000;04 00800002049141;02/04/2025;2,96;3;12;3;2025-04;Detrator
39410992;1000;04 0096000127127105;05/01/2025;23,32;1;83,7;9;2025-01;Promotor
40107426;3000;04 00830002289981;05/03/2025;15,15;1;59,19;3;2025-03;Detrator
38997198;4300;04 01660000641351;28/01/2025;34,16;1;95,89;5;2025-01;Detrator
39866834;1000;04 0043000180091102;13/02/2025;32,37;1;349,99;6;2025-02;Detrator
39149479;3000;04 02670000095711;22/04/2025;33,29;1;134,9;8;2025-04;Neutro
40269047;4100;04 00840002900331;27/02/2025;7,16;1;22,36;3;2025-02;Detrator
40115716;1000;04 0200000037634104;18/01/2025;18,63;1;67,99;3;2025-01;Detrator
39770882;1000;04 0180000090609101;25/04/2025;2,5;1;26,99;1;2025-04;Detrator
39655845;1000;04 0031000327316105;07/02/2025;5,12;1;19,99;9;2025-02;Promotor
39729154;4600;04 00560002877251;03/01/2025;0,58;1;6,19;2;2025-01;Detrator
40462952;4300;04 01690001317751;31/03/2025;3,24;1;34,98;6;2025-03;Detrator
39583932;1000;04 0175000049870101;14/03/2025;1,79;1;19,3;6;2025-03;Detrator
40097765;3000;04 01920000348101;11/01/2025;17,55;1;189,8;7;2025-01;Neutro
39962893;1000;04 0156000074290103;06/02/2025;5,63;1;21,99;8;2025-02;Neutro
39141566;3000;04 01400000948121;11/02/2025;5,27;1;19,54;5;2025-02;Detrator
39302665;4300;04 01800001497631;20/02/2025;17,95;1;72,8;10;2025-02;Promotor
39149880;3000;04 02260000779631;04/02/2025;5,15;20;55,6;9;2025-02;Promotor
39452575;4300;04 01050002005171;10/02/2025;12,48;1;55,1;1;2025-02;Detrator
39799172;3000;04 02800000200871;24/02/2025;10,05;1;59,1;4;2025-02;Detrator
39814932;1000;04 0155000070087103;16/02/2025;4,86;1;18,99;7;2025-02;Neutro
39836309;1000;04 0162000040305103;21/02/2025;0,64;2;6,78;8;2025-02;Neutro
39096567;3000;04 00950001498851;10/04/2025;30,74;1;332,4;6;2025-04;Detrator
40399704;3000;04 02600000065941;17/02/2025;3,44;1;12,99;7;2025-02;Neutro
40036845;1000;04 0035000464160102;10/03/2025;8,88;1;95,99;5;2025-03;Detrator
39689693;4300;04 00540002963601;30/01/2025;14,48;1;86,89;8;2025-01;Neutro
39265441;3000;04 01140003879421;24/04/2025;1,91;1;20,6;1;2025-04;Detrator
40279591;3000;04 01470000248461;28/02/2025;8,29;3;89,67;4;2025-02;Detrator
39516966;1000;04 0138000184736101;16/03/2025;3,49;1;37,8;2;2025-03;Detrator
40634395;3000;04 02660000444271;12/04/2025;26,36;1;155,03;6;2025-04;Detrator
40225336;3000;04 01140003897641;30/04/2025;12,48;1;134,91;2;2025-04;Detrator
36241020;1000;04 0074000385670101;06/04/2025;4,1;1;15,99;8;2025-04;Neutro
40426094;1000;04 0244000023832103;15/02/2025;14,5;1;56,7;9;2025-02;Promotor
39385661;1000;04 0080202520595A;26/03/2025;1,55;1;16,61;4;2025-03;Detrator
40121250;1000;04 0249000047469101;14/03/2025;0,29;1;3,19;4;2025-03;Detrator
39993893;3000;04 00010001994251;14/03/2025;7,66;1;82,79;3;2025-03;Detrator
40613030;3000;04 02120000144541;18/03/2025;14,57;1;157,49;6;2025-03;Detrator
38637337;1000;04 0124000037788101;06/03/2025;5,45;1;58,99;2;2025-03;Detrator
38002987;4300;04 00500002897141;04/04/2025;1,97;1;86,06;6;2025-04;Detrator
39443349;1000;04 0102000034228105;06/03/2025;2,05;5;22,45;2;2025-03;Detrator
38126208;4300;04 00430002341581;12/01/2025;12,2;1;81,69;9;2025-01;Promotor
39254421;1000;04 0125000228191103;04/02/2025;25,53;1;275,99;2;2025-02;Detrator
40212877;3000;04 01870000511671;27/01/2025;4,15;9;44,94;9;2025-01;Promotor
40038854;1000;04 0088000091656104;02/02/2025;4,9;1;17,59;1;2025-02;Detrator
36653682;4100;04 01270000668911;22/04/2025;8,06;1;18,78;8;2025-04;Neutro
39841153;3000;04 00660002273061;30/04/2025;1,41;5;15,25;9;2025-04;Promotor
40026338;1000;04 0099000009431102;12/04/2025;5,88;1;22,99;3;2025-04;Detrator
39627960;1000;04 0257000039722101;04/04/2025;4,38;1;15,99;9;2025-04;Promotor
39472640;3000;04 01140003665761;06/02/2025;5;1;26,34;1;2025-02;Detrator
39695211;4600;04 01930000816871;16/04/2025;2,22;1;23,99;1;2025-04;Detrator
40451773;1000;04 0209000036463103;15/03/2025;6,41;1;22,5;5;2025-03;Detrator
39670363;1000;04 0179000035419101;09/01/2025;4,6;2;17,98;4;2025-01;Detrator
37838817;1000;04 0076000078547104;28/02/2025;20,04;1;78,3;6;2025-02;Detrator
39505592;1000;04 0243000048212101;22/01/2025;0,74;1;8,09;2;2025-01;Detrator
39451228;3000;04 01500000973951;18/01/2025;6,09;1;65,89;7;2025-01;Neutro
38715966;3000;04 02940000015961;18/04/2025;24,87;1;93,89;7;2025-04;Neutro
37989109;3000;04 02180000410301;18/03/2025;12,65;1;136,71;6;2025-03;Detrator
39166682;4600;04 00080001918361;21/01/2025;11,51;1;44,99;9;2025-01;Promotor
39732759;4300;04 02020000883241;06/03/2025;29,78;1;169,89;9;2025-03;Promotor
39574677;1000;04 0083000364098102;23/03/2025;20,9;1;116,1;5;2025-03;Detrator
39889709;1000;04 0035000454576102;08/01/2025;12,03;1;46,99;7;2025-01;Neutro
40405604;1000;04 0207000036925101;12/04/2025;6,47;1;69,99;3;2025-04;Detrator
39667701;1000;04 0206000029702101;16/02/2025;9,62;1;38,99;4;2025-02;Detrator
38040297;2003;04 00140062062051;05/04/2025;6,02;1;29,9;6;2025-04;Detrator
39425415;3000;04 02130001166281;16/03/2025;5,14;1;17,59;4;2025-03;Detrator
37811248;1000;04 0085000261254101;01/03/2025;6,39;1;24,99;6;2025-03;Detrator
39491988;2000;04 00140062532901;24/04/2025;7,25;1;24,36;9;2025-04;Promotor
39731846;3000;04 01290002532361;18/02/2025;8,18;1;27,99;8;2025-02;Neutro
39556367;3000;04 01070002848281;26/02/2025;6,77;1;37,61;8;2025-02;Neutro
40358675;1000;04 0060000440810103;20/01/2025;16,37;2;63,98;7;2025-01;Neutro
39939488;3000;04 02130001124921;22/02/2025;27,75;1;94,99;10;2025-02;Promotor
37573744;2000;04 00140062141591;09/04/2025;59,81;1;205,05;7;2025-04;Neutro
36076156;4100;04 00650003928781;03/04/2025;11,95;1;73,68;6;2025-04;Detrator
39946679;1000;04 0146000115521106;25/01/2025;4,68;1;23,4;7;2025-01;Neutro
39124576;3000;04 01720001420881;10/02/2025;2,95;4;11,48;3;2025-02;Detrator
37922485;2002;04 00140060449381;07/02/2025;2,81;1;10,99;9;2025-02;Promotor
39353604;3000;04 02330000307781;28/02/2025;1,74;3;18,87;10;2025-02;Promotor
40215701;4300;04 00950001402841;14/01/2025;35,29;1;150,8;7;2025-01;Neutro
39377197;1000;04 0244000025866103;20/03/2025;1,3;5;14,1;8;2025-03;Neutro
40440420;3000;04 01470000237271;18/02/2025;24,48;2;122,38;5;2025-02;Detrator
36208747;3000;04 01960002083721;05/04/2025;0,27;1;2,87;7;2025-04;Neutro
39757678;4300;04 01090003073891;02/01/2025;25,38;1;192,9;10;2025-01;Promotor
40206122;3000;04 02450000481981;04/02/2025;20,38;1;220,31;10;2025-02;Promotor
40061722;1000;04 0250000100740102;09/04/2025;6,4;1;22,5;7;2025-04;Neutro
40405604;1000;04 0207000041083102;29/03/2025;18,9;1;68,99;6;2025-03;Detrator
32037393;3000;04 01150000911481;18/03/2025;14,98;1;161,99;8;2025-03;Neutro
38247197;1000;04 0110000270715101;15/04/2025;21,88;1;85,5;3;2025-04;Detrator
39997523;1000;04 0096000116344104;05/02/2025;3,89;2;13,98;9;2025-02;Promotor
39650858;1000;04 0261000034909101;03/01/2025;35,69;1;139,5;2;2025-01;Detrator
40140335;1000;04 0121000102623101;12/01/2025;5,45;1;58,99;9;2025-01;Promotor
37835260;2001;04 00140059277021;02/01/2025;7,23;1;27,89;1;2025-01;Detrator
39762608;1000;04 0109000115022102;27/01/2025;0,78;2;8,38;2;2025-01;Detrator
39441475;1000;04 0217000059776103;17/04/2025;8,38;1;30,6;1;2025-04;Detrator
39858536;3000;04 00010001945881;18/01/2025;5,06;1;54,71;9;2025-01;Promotor
39646974;2001;04 00140060015921;25/01/2025;16,6;1;123,21;4;2025-01;Detrator
40609175;3000;04 00970001263281;18/03/2025;17,55;3;90;1;2025-03;Detrator
39768198;3000;04 02720000091991;12/02/2025;2,22;1;7,99;10;2025-02;Promotor
39960759;1000;04 0155000032094102;18/01/2025;0;1;9,81;7;2025-01;Neutro
40189021;3000;04 00800002064101;10/04/2025;16,78;1;67,99;6;2025-04;Detrator
39394882;3000;04 00700000729161;05/02/2025;40,46;1;224,78;2;2025-02;Detrator
61013433;1000;04 0217000047136102;25/03/2025;27,4;1;99,99;8;2025-03;Neutro
39141094;4300;04 01080005876221;24/02/2025;26,89;1;78,98;8;2025-02;Neutro
39516966;1000;04 0138000175003101;14/01/2025;1,18;6;12,76;10;2025-01;Promotor
39657012;1000;04 0186000119973101;30/03/2025;9,72;1;37,99;2;2025-03;Detrator
36080718;3000;04 00970001282501;05/04/2025;12,48;1;63,99;9;2025-04;Promotor
39556367;4300;04 01070002898311;03/04/2025;6,59;1;11,79;4;2025-04;Detrator
39670363;1000;04 0179000037872101;05/02/2025;5,36;3;20,97;4;2025-02;Detrator
40067633;1000;04 0062000154869101;25/02/2025;1,22;2;13,18;5;2025-02;Detrator
39187529;1000;04 0120000104351104;07/02/2025;1,85;1;19,99;5;2025-02;Detrator
40336888;1000;04 0050000195280103;26/01/2025;4,93;1;19,99;10;2025-01;Promotor
40626448;1000;04 0255000026288101;23/03/2025;4,65;1;16,99;5;2025-03;Detrator
39948510;2000;04 00140060241861;31/01/2025;8,7;1;43,16;5;2025-01;Detrator
39407089;2000;04 00140062675371;29/04/2025;5,37;1;21;9;2025-04;Promotor
39278179;1000;04 0096000161064103;26/03/2025;1,01;1;3,59;9;2025-03;Promotor
40579249;3000;04 00330002568861;16/03/2025;10,59;2;39,98;5;2025-03;Detrator
40431569;1000;04 0237000051779101;23/03/2025;20,21;1;79;4;2025-03;Detrator
39492874;1000;04 0043000178026102;02/01/2025;29,41;1;109,13;10;2025-01;Promotor
40242060;3000;04 01050002024221;21/02/2025;2,28;1;18,99;1;2025-02;Detrator
39583932;1000;04 0037000126123102;03/01/2025;15,87;3;61,98;5;2025-01;Detrator
39660501;1000;04 0187000032874104;30/01/2025;6,52;1;25,49;4;2025-01;Detrator
39420388;4300;04 00060001096971;13/01/2025;9,94;1;45,17;10;2025-01;Promotor
