COD_CLIENTE,DATA_CADASTRO,DATA_NASCIMENTO,CELULAR_VALIDO,E_MAIL_VALIDO,OPT_OUT,Idade,Faixa_Idade
61000092,2024-05-22,1996-05-22,Não,Sim,Não,29,21 a 30
40651034,2025-05-08,2002-12-15,Não,Sim,Não,22,21 a 30
40072756,2025-03-03,1990-01-07,Não,Sim,Não,35,31 a 40
39471624,2024-09-04,2004-05-11,Não,Sim,Não,21,21 a 30
39645815,2024-06-13,1989-10-09,Não,Sim,Não,35,31 a 40
39482077,2024-04-25,1999-05-24,Não,Sim,Não,26,21 a 30
39196823,2024-01-25,1987-04-09,Não,Sim,Sim,38,31 a 40
40451224,2024-01-13,2000-07-11,Não,Sim,Não,24,21 a 30
39299139,2024-02-25,1985-03-03,Não,Sim,Não,40,31 a 40
39923878,2024-09-06,1986-11-08,Não,Sim,Não,38,31 a 40
39452379,2024-04-13,1983-02-25,Não,Sim,Não,42,41 a 50
39531121,2024-05-09,1989-01-10,Não,Sim,Não,36,31 a 40
39236005,2024-02-06,1968-12-14,Não,Sim,Não,56,>=51
39584985,2024-06-03,1961-11-08,Não,Sim,Não,63,>=51
39142748,2024-02-03,1988-08-21,Não,Sim,Não,36,31 a 40
38844069,2024-10-13,1995-06-01,Não,Sim,Sim,30,21 a 30
37799350,2024-02-27,1971-10-12,Não,Sim,Não,53,>=51
39328019,2024-03-05,1977-01-15,Não,Sim,Sim,48,41 a 50
39332091,2024-03-06,1980-01-02,Não,Sim,Não,45,41 a 50
38679050,2024-11-30,1966-03-20,Não,Sim,Não,59,>=51
40051383,2024-10-20,1981-01-17,Não,Sim,Não,44,41 a 50
39133392,2024-03-05,1992-05-15,Não,Sim,Não,33,31 a 40
39418795,2024-04-27,1984-11-08,Não,Sim,Não,40,31 a 40
40408649,2025-02-07,1983-06-06,Não,Sim,Não,42,41 a 50
37701180,2024-04-12,2001-03-02,Não,Sim,Não,24,21 a 30
39658885,2024-06-18,1987-03-23,Não,Sim,Não,38,31 a 40
39692577,2024-07-02,1990-05-17,Não,Sim,Não,35,31 a 40
39343770,2024-04-04,1997-04-07,Não,Sim,Não,28,21 a 30
39564460,2024-05-19,1973-02-06,Não,Sim,Não,52,>=51
39604040,2024-05-31,1988-09-01,Não,Sim,Não,36,31 a 40
39339831,2024-03-09,1999-04-04,Não,Sim,Não,26,21 a 30
40096647,2024-11-04,1995-07-14,Não,Sim,Não,29,21 a 30
36670191,2025-04-28,2002-09-07,Não,Sim,Não,22,21 a 30
38283793,2024-07-11,1997-12-12,Não,Sim,Não,27,21 a 30
39803492,2024-07-31,1946-05-12,Não,Sim,Não,79,>=51
40422373,2025-02-11,1990-01-31,Não,Sim,Sim,35,31 a 40
40160072,2024-11-21,1980-05-09,Não,Sim,Não,45,41 a 50
39339874,2024-03-09,1999-01-01,Não,Sim,Sim,26,21 a 30
39642808,2024-06-12,1994-05-23,Não,Sim,Não,31,31 a 40
39627960,2024-06-07,1996-03-20,Não,Sim,Não,29,21 a 30
39208346,2024-01-29,2003-04-09,Não,Sim,Não,22,21 a 30
40060378,2024-10-22,2003-03-15,Não,Sim,Não,22,21 a 30
38665233,2025-05-02,2003-11-24,Não,Sim,Não,21,21 a 30
39705302,2024-07-02,1994-11-19,Não,Sim,Não,30,21 a 30
40035198,2024-10-14,1994-10-10,Não,Sim,Não,30,21 a 30
39451228,2024-04-13,1979-04-08,Não,Sim,Sim,46,41 a 50
39997968,2024-10-06,2004-06-08,Não,Sim,Não,21,21 a 30
39661347,2025-02-08,2005-05-09,Não,Sim,Não,20,<=20
38434457,2024-09-09,1998-10-13,Não,Sim,Não,26,21 a 30
39644325,2024-06-12,1994-09-19,Não,Sim,Não,30,21 a 30
40433570,2025-02-15,1969-03-02,Não,Sim,Não,56,>=51
40351826,2025-01-18,1980-10-07,Não,Sim,Não,44,41 a 50
39586751,2024-05-26,1999-02-18,Não,Sim,Não,26,21 a 30
39905442,2024-10-31,1990-08-05,Não,Sim,Não,34,31 a 40
39254633,2024-02-12,1986-02-18,Não,Sim,Sim,39,31 a 40
39547852,2024-05-14,1978-01-17,Não,Sim,Não,47,41 a 50
39947368,2024-09-14,2005-07-07,Não,Sim,Não,19,<=20
40347935,2025-01-16,1971-02-06,Não,Sim,Não,54,>=51
39306728,2024-02-27,1997-09-16,Não,Sim,Não,27,21 a 30
61011385,2025-02-22,1955-04-08,Não,Sim,Sim,70,>=51
39536547,2024-06-11,1969-08-30,Não,Sim,Não,55,>=51
39139278,2024-01-09,1997-11-15,Não,Sim,Não,27,21 a 30
39320311,2024-03-05,1996-09-21,Não,Sim,Não,28,21 a 30
39260922,2024-02-14,1980-03-01,Não,Sim,Não,45,41 a 50
40403129,2025-02-05,1970-02-28,Não,Sim,Sim,55,>=51
40518100,2025-03-04,1963-12-12,Não,Sim,Não,61,>=51
40039501,2024-10-16,1985-10-01,Não,Sim,Não,39,31 a 40
36216743,2025-04-06,1981-11-22,Não,Sim,Não,43,41 a 50
39537854,2024-05-11,1995-08-26,Não,Sim,Não,29,21 a 30
40088271,2024-11-01,1989-03-21,Não,Sim,Sim,36,31 a 40
36430872,2025-04-10,1991-08-16,Não,Sim,Não,33,31 a 40
39951415,2024-09-15,1995-04-13,Não,Sim,Não,30,21 a 30
39563702,2024-05-19,1970-07-31,Não,Sim,Não,54,>=51
40221352,2025-04-30,1954-01-19,Não,Sim,Sim,71,>=51
40265783,2024-12-20,1986-03-10,Não,Sim,Não,39,31 a 40
40123753,2024-11-11,1993-11-28,Não,Sim,Não,31,31 a 40
40265544,2024-12-20,1996-05-05,Não,Sim,Não,29,21 a 30
39348684,2024-03-20,1993-06-16,Não,Sim,Não,32,31 a 40
40448042,2024-01-09,1988-11-11,Não,Sim,Não,36,31 a 40
39761799,2024-07-18,2001-02-12,Não,Sim,Não,24,21 a 30
40042338,2024-10-17,1963-10-04,Não,Sim,Sim,61,>=51
40566191,2024-06-01,1987-07-08,Não,Sim,Sim,37,31 a 40
40261072,2024-12-19,1991-09-25,Não,Sim,Sim,33,31 a 40
39054152,2024-12-28,2002-09-04,Não,Sim,Não,22,21 a 30
40068980,2024-12-04,2005-01-05,Não,Sim,Não,20,<=20
40029866,2025-02-28,1984-04-24,Não,Sim,Sim,41,41 a 50
37354987,2024-04-16,1999-04-26,Não,Sim,Não,26,21 a 30
40360405,2025-01-23,1978-05-12,Não,Sim,Não,47,41 a 50
40647862,2025-05-07,1993-12-06,Não,Sim,Sim,31,31 a 40
39286557,2024-02-21,1983-05-19,Não,Sim,Não,42,41 a 50
39691767,2024-06-27,1997-11-17,Não,Sim,Não,27,21 a 30
39235180,2024-02-06,1974-06-08,Não,Sim,Não,51,>=51
39085275,2024-11-14,1989-09-22,Não,Sim,Não,35,31 a 40
39302665,2024-02-26,1998-11-13,Não,Sim,Não,26,21 a 30
40192388,2024-11-30,2004-03-05,Não,Sim,Não,21,21 a 30
39765692,2024-07-19,1974-06-12,Não,Sim,Não,51,>=51
40393607,2025-02-02,1989-10-02,Não,Sim,Não,35,31 a 40
39245505,2024-02-09,1973-01-06,Não,Sim,Sim,52,>=51
39329432,2024-03-05,1965-12-19,Não,Sim,Sim,59,>=51
39782400,2024-07-24,2002-09-25,Não,Sim,Não,22,21 a 30
40001401,2024-08-30,1970-09-18,Não,Sim,Não,54,>=51
40279591,2024-12-24,1983-04-21,Não,Sim,Sim,42,41 a 50
40591600,2024-06-23,1975-08-02,Não,Sim,Não,49,41 a 50
39731846,2024-07-10,1984-07-06,Não,Sim,Sim,40,31 a 40
40444647,2025-02-20,2005-04-11,Não,Sim,Não,20,<=20
39563644,2024-05-19,1987-01-15,Não,Sim,Não,38,31 a 40
40426611,2025-02-13,2001-05-05,Não,Sim,Não,24,21 a 30
39158835,2024-01-15,1988-01-01,Não,Sim,Não,37,31 a 40
39520340,2024-05-28,1977-11-30,Não,Sim,Não,47,41 a 50
39828455,2024-08-07,2000-02-27,Não,Sim,Não,25,21 a 30
40258147,2024-12-18,2002-02-27,Não,Sim,Não,23,21 a 30
39922028,2024-09-06,1985-09-11,Não,Sim,Não,39,31 a 40
39889709,2024-08-26,2003-09-09,Não,Sim,Não,21,21 a 30
39610602,2024-06-02,1997-12-28,Não,Sim,Não,27,21 a 30
39585812,2024-05-26,2000-07-18,Não,Sim,Não,24,21 a 30
39330007,2024-03-06,1991-10-25,Não,Sim,Não,33,31 a 40
37999306,2024-01-19,1994-07-15,Não,Sim,Não,30,21 a 30
39784914,2024-07-25,1992-03-11,Não,Sim,Não,33,31 a 40
39367590,2024-03-17,1957-09-06,Não,Sim,Não,67,>=51
39574677,2024-05-23,2005-01-13,Não,Sim,Não,20,<=20
39155715,2024-01-14,1998-04-14,Não,Sim,Sim,27,21 a 30
39498404,2024-06-02,1974-03-19,Não,Sim,Não,51,>=51
40071257,2024-10-26,1979-04-05,Não,Sim,Não,46,41 a 50
40635426,2025-03-27,1997-02-24,Não,Sim,Não,28,21 a 30
40659399,2025-05-11,1994-11-18,Não,Sim,Não,30,21 a 30
37835260,2024-10-03,1995-12-19,Não,Sim,Não,29,21 a 30
40224566,2024-12-08,1960-12-08,Não,Sim,Sim,64,>=51
40185485,2024-11-28,2005-02-28,Não,Sim,Não,20,<=20
39185344,2024-01-22,1972-06-11,Não,Sim,Não,53,>=51
39374811,2024-04-10,1994-12-04,Não,Sim,Não,30,21 a 30
39690076,2024-06-27,1959-10-25,Não,Sim,Não,65,>=51
36158508,2025-04-07,2012-12-15,Não,Sim,Não,12,<=20
39223651,2025-03-01,1990-01-16,Não,Sim,Não,35,31 a 40
40012788,2024-10-07,1988-07-15,Não,Sim,Não,36,31 a 40
38928474,2025-03-15,1999-12-31,Não,Sim,Não,25,21 a 30
39652257,2024-06-25,1998-01-28,Não,Sim,Não,27,21 a 30
40572494,2025-03-20,1996-02-29,Não,Sim,Não,29,21 a 30
40289174,2024-12-28,2005-07-07,Não,Sim,Não,19,<=20
38619066,2024-08-04,1979-02-14,Não,Sim,Não,46,41 a 50
40264478,2024-12-20,2003-06-18,Não,Sim,Não,22,21 a 30
38631448,2024-05-06,1997-03-12,Não,Sim,Sim,28,21 a 30
39390338,2024-03-24,1993-07-20,Não,Sim,Sim,31,31 a 40
39458192,2024-04-15,2000-06-20,Não,Sim,Não,25,21 a 30
40254577,2024-12-17,1997-08-28,Não,Sim,Não,27,21 a 30
40403375,2025-02-05,1960-11-06,Não,Sim,Não,64,>=51
39385661,2024-03-23,1987-01-11,Não,Sim,Não,38,31 a 40
39755252,2024-07-16,1979-03-30,Não,Sim,Não,46,41 a 50
39115798,2024-02-25,1978-06-10,Não,Sim,Não,47,41 a 50
39185534,2025-05-25,1996-06-10,Não,Sim,Não,29,21 a 30
39885393,2024-08-25,1987-03-09,Não,Sim,Não,38,31 a 40
40059431,2024-10-22,1998-12-05,Não,Sim,Sim,26,21 a 30
40188931,2025-04-27,1980-03-04,Não,Sim,Não,45,41 a 50
40660031,2025-05-11,1992-11-28,Não,Sim,Não,32,31 a 40
40248793,2024-12-15,1993-08-06,Não,Sim,Não,31,31 a 40
40680084,2025-05-18,1987-01-08,Não,Sim,Não,38,31 a 40
40543478,2025-03-06,2006-07-09,Não,Sim,Não,18,<=20
39936520,2024-09-11,1971-08-04,Não,Sim,Não,53,>=51
40638198,2025-03-28,2001-03-03,Não,Sim,Não,24,21 a 30
39537443,2024-05-11,1958-05-04,Não,Sim,Não,67,>=51
39613074,2024-06-03,1992-10-05,Não,Sim,Não,32,31 a 40
39644956,2024-06-13,1985-06-13,Não,Sim,Não,40,31 a 40
40037490,2024-10-15,1972-09-25,Não,Sim,Não,52,>=51
39813017,2024-08-03,1952-12-08,Não,Sim,Não,72,>=51
40542700,2025-03-06,1986-10-09,Não,Sim,Não,38,31 a 40
40304108,2025-01-02,1989-07-17,Não,Sim,Não,35,31 a 40
39440255,2025-01-23,1977-07-15,Não,Sim,Não,47,41 a 50
40422536,2025-03-16,1997-11-19,Não,Sim,Não,27,21 a 30
40241749,2024-12-13,1971-02-06,Não,Sim,Não,54,>=51
39353583,2024-03-13,1995-04-19,Não,Sim,Sim,30,21 a 30
39322190,2024-03-03,1999-01-22,Não,Sim,Não,26,21 a 30
39743269,2024-07-16,1992-08-02,Não,Sim,Não,32,31 a 40
38247197,2024-06-01,2002-06-10,Não,Sim,Sim,23,21 a 30
38927338,2024-05-27,1969-01-11,Não,Sim,Sim,56,>=51
39837807,2024-08-10,1990-09-29,Não,Sim,Não,34,31 a 40
40301960,2025-01-02,2000-04-10,Não,Sim,Não,25,21 a 30
39406914,2024-03-29,1998-09-10,Não,Sim,Não,26,21 a 30
38229202,2024-10-18,1978-04-28,Não,Sim,Não,47,41 a 50
40311938,2025-01-06,2006-01-30,Não,Sim,Não,19,<=20
40603230,2025-03-15,1998-02-02,Não,Sim,Não,27,21 a 30
39679158,2024-06-23,2001-05-22,Não,Sim,Não,24,21 a 30
39909743,2024-09-03,1985-08-26,Não,Sim,Sim,39,31 a 40
39181379,2024-01-21,2004-06-08,Não,Sim,Não,21,21 a 30
44004867,2024-07-13,1987-02-28,Não,Sim,Sim,38,31 a 40
39865184,2024-08-19,1982-10-17,Não,Sim,Sim,42,41 a 50
39683617,2024-06-25,1979-02-25,Não,Sim,Não,46,41 a 50
39908476,2024-09-01,1957-01-10,Não,Sim,Não,68,>=51
39626160,2024-07-03,1993-03-10,Não,Sim,Não,32,31 a 40
39766930,2024-07-20,2000-04-03,Não,Sim,Não,25,21 a 30
39733293,2024-07-09,2004-01-15,Não,Sim,Não,21,21 a 30
40026909,2024-10-12,1997-04-30,Não,Sim,Sim,28,21 a 30
40320486,2025-01-07,1959-09-21,Não,Sim,Não,65,>=51
40414323,2025-02-09,2000-11-07,Não,Sim,Não,24,21 a 30
39888174,2024-08-26,1964-02-05,Não,Sim,Não,61,>=51
40215486,2024-12-05,1982-08-12,Não,Sim,Não,42,41 a 50
40374717,2025-01-29,1983-06-08,Não,Sim,Não,42,41 a 50
39662305,2024-06-18,1981-01-24,Não,Sim,Não,44,41 a 50
61011922,2025-02-23,1983-05-31,Não,Sim,Não,42,41 a 50
38079006,2024-09-27,1992-09-25,Não,Sim,Não,32,31 a 40
39796001,2024-07-29,1994-11-27,Não,Sim,Não,30,21 a 30
39139168,2024-01-09,2006-09-20,Não,Sim,Não,18,<=20
39947191,2024-09-14,1986-02-19,Não,Sim,Não,39,31 a 40
40438531,2025-02-17,1981-07-27,Não,Sim,Não,43,41 a 50
40081317,2025-03-31,1979-05-26,Não,Sim,Não,46,41 a 50
38013236,2024-06-17,1975-11-04,Não,Sim,Não,49,41 a 50
40401332,2025-02-05,1998-12-29,Não,Sim,Não,26,21 a 30
40078427,2024-10-29,2002-10-16,Não,Sim,Sim,22,21 a 30
38942688,2024-01-07,2000-03-03,Não,Sim,Não,25,21 a 30
40055150,2024-10-21,1979-01-16,Não,Sim,Não,46,41 a 50
40132828,2024-11-24,2004-09-27,Não,Sim,Não,20,<=20
40258235,2024-12-18,1994-06-03,Não,Sim,Não,31,31 a 40
39765848,2024-07-19,1983-06-06,Não,Sim,Não,42,41 a 50
38598802,2024-06-10,1995-08-11,Não,Sim,Não,29,21 a 30
36522073,2025-04-13,1994-01-07,Não,Sim,Não,31,31 a 40
40394236,2025-02-02,1984-05-18,Não,Sim,Não,41,41 a 50
38649930,2024-11-05,1967-07-28,Não,Sim,Sim,57,>=51
40012712,2024-10-07,2003-09-05,Não,Sim,Não,21,21 a 30
39317050,2024-03-02,2006-06-19,Não,Sim,Não,19,<=20
39295823,2024-02-24,2005-08-12,Não,Sim,Sim,19,<=20
39625319,2024-06-07,1965-10-30,Não,Sim,Não,59,>=51
39125674,2024-01-05,1995-12-20,Não,Sim,Não,29,21 a 30
36598101,2025-04-17,1983-03-14,Não,Sim,Não,42,41 a 50
39646523,2024-06-13,1973-01-17,Não,Sim,Não,52,>=51
39686871,2024-07-17,1987-01-16,Não,Sim,Não,38,31 a 40
39291285,2024-02-23,2004-05-07,Não,Sim,Não,21,21 a 30
39440385,2024-04-09,1975-08-26,Não,Sim,Sim,49,41 a 50
40114071,2024-11-09,2006-04-20,Não,Sim,Não,19,<=20
39211228,2024-01-30,1996-06-18,Não,Sim,Não,29,21 a 30
44005727,2024-07-14,1992-11-20,Não,Sim,Não,32,31 a 40
39839823,2024-08-11,2000-07-07,Não,Sim,Não,24,21 a 30
36681374,2025-04-22,1981-05-19,Não,Sim,Não,44,41 a 50
39814287,2024-08-03,1980-07-06,Não,Sim,Não,44,41 a 50
39769841,2024-07-20,1986-03-01,Não,Sim,Sim,39,31 a 40
39689693,2024-06-27,1998-08-09,Não,Sim,Não,26,21 a 30
40342857,2025-01-15,2002-04-10,Não,Sim,Não,23,21 a 30
39610147,2024-06-02,1990-03-23,Não,Sim,Não,35,31 a 40
39295038,2024-02-24,1971-02-27,Não,Sim,Não,54,>=51
40225379,2024-12-08,1962-12-12,Não,Sim,Não,62,>=51
39373390,2024-03-19,1981-04-24,Não,Sim,Não,44,41 a 50
39671744,2024-06-21,2004-05-03,Não,Sim,Não,21,21 a 30
39515468,2024-05-04,2000-09-30,Não,Sim,Não,24,21 a 30
40114970,2024-11-09,1988-09-10,Não,Sim,Sim,36,31 a 40
40296316,2025-05-16,1999-10-26,Não,Sim,Não,25,21 a 30
40092156,2024-11-02,2001-09-14,Não,Sim,Não,23,21 a 30
39201102,2024-06-22,1966-06-04,Não,Sim,Sim,59,>=51
39496915,2024-04-28,2003-01-20,Não,Sim,Não,22,21 a 30
40574213,2025-03-08,1980-04-14,Não,Sim,Não,45,41 a 50
40552784,2024-05-02,1982-02-16,Não,Sim,Sim,43,41 a 50
36348181,2025-04-09,1984-01-19,Não,Sim,Não,41,41 a 50
39114570,2024-01-03,1990-11-04,Não,Sim,Não,34,31 a 40
40600791,2025-03-14,1991-07-13,Não,Sim,Não,33,31 a 40
49012316,2024-09-16,1992-08-18,Não,Sim,Não,32,31 a 40
40504457,2024-03-10,1975-08-03,Não,Sim,Não,49,41 a 50
39218094,2024-02-01,1976-09-29,Não,Sim,Não,48,41 a 50
40351016,2025-01-18,2003-05-07,Não,Sim,Não,22,21 a 30
39156765,2024-01-14,1980-12-30,Não,Sim,Não,44,41 a 50
40150150,2024-11-18,1988-04-06,Não,Sim,Não,37,31 a 40
39755359,2024-07-16,1978-09-07,Não,Sim,Não,46,41 a 50
39113450,2024-01-02,1997-05-16,Não,Sim,Não,28,21 a 30
39955094,2024-09-16,1986-12-05,Não,Sim,Não,38,31 a 40
39435400,2024-04-11,1997-02-17,Não,Sim,Não,28,21 a 30
40628707,2025-03-24,1987-12-24,Não,Sim,Não,37,31 a 40
37546102,2024-10-20,2000-05-17,Não,Sim,Não,25,21 a 30
39159107,2024-01-14,1981-02-02,Não,Sim,Não,44,41 a 50
39643739,2024-06-12,1980-07-01,Não,Sim,Não,44,41 a 50
37515126,2024-03-10,1998-11-15,Não,Sim,Sim,26,21 a 30
40251723,2024-12-16,1964-04-04,Não,Sim,Não,61,>=51
39110842,2024-01-28,2007-11-09,Não,Sim,Não,17,<=20
40138184,2024-11-15,2000-02-17,Não,Sim,Não,25,21 a 30
40324243,2024-12-14,1960-04-06,Não,Sim,Sim,65,>=51
39156701,2025-01-09,1998-03-11,Não,Sim,Não,27,21 a 30
39534992,2024-05-12,2001-10-07,Não,Sim,Não,23,21 a 30
40563915,2025-03-07,2000-12-29,Não,Sim,Não,24,21 a 30
39495723,2024-06-09,1985-09-26,Não,Sim,Não,39,31 a 40
39593574,2024-05-28,1985-09-13,Não,Sim,Não,39,31 a 40
40178309,2024-11-26,1995-11-04,Não,Sim,Não,29,21 a 30
40570480,2025-03-07,1995-05-22,Não,Sim,Não,30,21 a 30
39998023,2024-10-01,1980-09-06,Não,Sim,Sim,44,41 a 50
39963188,2024-09-19,1955-01-04,Não,Sim,Não,70,>=51
39537997,2024-05-11,1997-07-07,Não,Sim,Não,27,21 a 30
39554941,2024-05-16,1971-12-16,Não,Sim,Não,53,>=51
36581856,2025-04-16,2001-08-23,Não,Sim,Sim,23,21 a 30
39486134,2024-04-24,1997-05-27,Não,Sim,Não,28,21 a 30
39651687,2024-10-27,1981-10-03,Não,Sim,Não,43,41 a 50
40403187,2025-02-05,1986-09-14,Não,Sim,Sim,38,31 a 40
39420192,2024-04-03,1974-04-22,Não,Sim,Sim,51,>=51
39306640,2024-02-27,1988-07-05,Não,Sim,Não,36,31 a 40
40020054,2024-10-09,1951-11-03,Não,Sim,Não,73,>=51
38273382,2024-02-22,1958-11-12,Não,Sim,Não,66,>=51
39154261,2024-01-13,1956-04-30,Não,Sim,Não,69,>=51
39691474,2024-09-22,1993-10-15,Não,Sim,Sim,31,31 a 40
